# filmdec_pos_rosetta records=54799
eid,slot,bitCursor,x,y,z,sighex
1073742341,517,197,-3.6166,16.1072,-1.2180,20648002ab20540d10e6b000b44c4cfe
1073742342,518,299,-3.9621,15.4681,-1.2180,10e6b000b44c4cfe15ff3e2941d1251b
1073742336,512,76,43.3987,8.5350,0.5031,f9c72d7e28815100c815334729ac0f8a
1073742336,512,76,43.3987,8.5350,0.5031,f2e32f3e48815100c815334729ac0f92
1073742341,517,197,-3.6028,16.1211,-1.2180,20646002c815074429ac002f5f145f24
1073742342,518,293,-3.9345,15.4681,-1.2180,29ac002f5f145f24a0e8928dd117ffff
1073742336,512,76,43.3711,8.5489,0.5031,f2e32f3e48815100c815334729ac0f92
1073742336,512,76,43.3711,8.5489,0.5031,e2cf30fe68815100c815354729ac0f9a
1073742341,517,197,-3.6028,16.1211,-1.2180,20648002ab2054251066b000c460567e
1073742342,518,299,-3.9069,15.4542,-1.2180,1066b000c460567e19febe6941d1251b
1073742336,512,76,43.3296,8.5628,0.5031,e2cf30fe68815100c815354729ac0f9a
1073742336,512,76,43.3296,8.5628,0.5031,dac532be888050d44e20544032054d51
1073742341,517,231,-3.5890,16.1211,-1.2180,ca6b03e888191800b20543d1026b000c
1073742342,518,327,-3.8930,15.4403,-1.2180,8f85afd1283a24a37665fffffffff20c
1073742336,512,76,43.3020,8.5767,0.5031,dac532be888050d44e20544032054d51
1073742336,512,76,43.3020,8.5767,0.5031,d62d347ea8815100c815354729ac0faa
1073742341,517,197,-3.5890,16.1211,-1.2180,20648002ab20544d1026b000cfdc5efe
1073742342,518,299,-3.8516,15.4264,-1.2180,1026b000cfdc5efe19febea941d1251b
1073742336,512,76,43.2605,8.5906,0.5031,d62d347ea8815100c815354729ac0faa
1073742336,512,76,43.2605,8.5906,0.5031,cf49363ec8815100c815374729ac0fb2
1073742341,517,197,-3.5890,16.1211,-1.2180,20646002c8151743f9ac00348a18bf64
1073742342,518,293,-3.8239,15.4264,-1.2180,f9ac00348a18bf64a0e8928de227ffff
1073742336,512,76,43.2191,8.5906,0.5031,cf49363ec8815100c815374729ac0fb2
1073742336,512,76,43.2191,8.5906,0.5031,ce2336bee8815100c815374729ac0fba
1073742341,517,197,-3.5752,16.1211,-1.2180,20646002c8151d43e9ac0035b0199f74
1073742342,518,293,-3.7963,15.4125,-1.2180,e9ac0035b0199f74a0e8928de667ffff
